asset_id,asset_type,engine_temperature,vibration_level,operating_hours,component_age,hours_since_service,maintenance_age,fuel_consumption,service_count,last_service_date,failure_label
A-048,Ground Vehicle,95.11,3.437,4521.3,37.3,716.4,14.1,43.01,19,2026-06-30,0
A-049,Communications Relay,62.33,0.702,6867.0,31.4,574.3,12.6,4.29,36,2026-08-04,1
A-050,UAV,70.58,0.845,674.7,12.7,55.4,1.0,10.75,5,2026-08-22,0
A-051,UAV,89.49,2.464,1476.4,22.4,117.9,17.1,20.33,5,2026-08-01,1
A-052,UAV,86.74,2.554,1089.7,19.3,149.8,10.3,18.34,5,2026-07-25,1
A-053,Communications Relay,46.34,0.706,4075.6,17.2,363.8,1.1,4.12,27,2026-08-24,0
A-054,Generator,98.96,2.135,10634.9,67.5,368.0,24.4,27.51,55,2026-08-06,1
A-055,Communications Relay,47.34,0.152,6254.3,20.8,1044.7,3.8,4.1,39,2026-07-20,1
A-056,Communications Relay,63.9,1.051,4732.2,24.8,675.7,6.2,4.97,37,2026-07-28,0
A-057,Ground Vehicle,84.82,3.735,4006.9,28.8,187.6,2.7,34.44,31,2026-08-17,0
A-058,Generator,91.23,1.913,8209.2,55.0,212.5,21.4,21.18,37,2026-08-20,1
A-059,UAV,89.81,2.281,1230.6,19.7,115.1,10.9,17.49,6,2026-08-10,1
A-060,UAV,97.51,3.273,1553.1,25.7,161.1,19.8,21.0,4,2026-07-20,0
A-061,Generator,84.4,1.283,5504.4,30.7,216.0,6.4,19.45,42,2026-08-17,0
A-062,Ground Vehicle,111.84,4.966,2896.7,34.5,459.9,26.6,57.78,10,2026-06-09,1
A-063,Generator,85.44,0.955,6308.4,44.4,223.4,8.3,17.23,40,2026-08-24,0
A-064,Communications Relay,41.41,0.079,4141.8,19.6,406.6,6.7,3.4,29,2026-08-16,0
A-065,Generator,89.6,1.929,7848.2,43.5,588.6,13.7,24.94,41,2026-08-07,0
A-066,Generator,93.64,0.945,8084.5,49.7,663.7,7.1,19.06,56,2026-06-25,1
A-067,Generator,107.58,3.013,13108.0,59.7,937.3,45.2,31.8,37,2026-06-11,1
A-068,Ground Vehicle,103.9,4.472,8378.9,63.7,398.2,45.9,58.48,29,2026-07-09,0
A-069,UAV,77.03,1.351,708.6,11.2,101.3,1.1,9.86,4,2026-08-19,0
A-070,Ground Vehicle,109.26,5.201,5504.9,51.0,212.4,39.2,63.26,11,2026-08-13,1
A-071,UAV,79.59,1.711,904.0,13.2,120.7,1.0,9.58,6,2026-08-17,0
A-072,Ground Vehicle,97.35,3.222,4798.1,33.2,236.8,11.9,38.14,26,2026-08-18,1
A-073,Rotary Wing,93.8,3.483,1292.9,23.0,222.0,2.8,58.25,7,2026-06-19,0
A-074,UAV,97.37,3.686,1615.2,26.9,145.4,16.4,18.98,3,2026-07-30,0
A-075,UAV,74.54,1.122,603.4,11.3,87.6,1.0,9.01,5,2026-08-21,0
A-076,Ground Vehicle,76.88,2.532,4216.4,36.6,298.8,7.2,30.54,26,2026-08-11,0
A-077,Ground Vehicle,93.45,3.336,3438.8,40.2,445.9,12.3,48.35,18,2026-07-05,0
A-078,Generator,108.7,2.974,8914.0,62.4,486.3,44.3,38.59,26,2026-07-27,1
A-079,Generator,111.83,2.781,14177.8,80.4,566.2,60.6,42.23,43,2026-07-28,1
A-080,Communications Relay,56.81,1.081,5977.2,23.6,1207.6,3.6,5.48,30,2026-07-14,1
A-081,Generator,105.13,2.486,12121.1,66.9,425.1,45.2,32.0,39,2026-08-15,1
A-082,Ground Vehicle,105.66,4.769,4479.8,34.6,636.7,22.5,62.69,17,2026-06-07,1
A-083,Communications Relay,60.32,1.148,9773.9,36.7,603.6,9.6,5.34,44,2026-08-11,1
A-084,UAV,76.32,0.794,604.4,12.5,67.3,3.6,13.77,4,2026-08-13,0
A-085,UAV,94.41,3.3,1414.4,24.2,204.9,19.2,16.9,3,2026-06-18,1
A-086,UAV,95.11,2.313,925.2,16.4,66.8,5.1,15.81,6,2026-08-23,0
A-087,Communications Relay,52.98,0.586,7164.0,22.8,660.2,4.3,4.55,60,2026-08-13,1
A-088,Ground Vehicle,74.1,2.839,2422.7,28.0,130.1,3.0,29.45,20,2026-08-25,0
A-089,UAV,94.88,2.361,875.1,17.0,83.1,8.0,15.62,5,2026-08-10,0
A-090,Generator,80.96,1.33,5783.0,35.6,588.4,5.7,17.88,33,2026-07-15,0
A-091,UAV,99.76,3.64,1410.8,23.1,185.9,12.9,20.72,5,2026-07-18,1
A-092,Communications Relay,45.02,0.05,3363.5,15.3,1219.0,1.6,3.46,29,2026-06-30,0
A-093,Ground Vehicle,89.29,2.913,3193.3,26.8,229.4,2.1,33.7,24,2026-08-13,0
A-094,Ground Vehicle,110.18,4.3,2995.9,39.5,118.7,34.2,50.73,8,2026-08-16,0
A-095,Ground Vehicle,94.68,3.107,3498.1,31.9,96.5,3.5,33.54,28,2026-08-28,1
A-096,Generator,76.18,1.026,4881.6,31.5,158.2,4.4,18.43,38,2026-08-23,0
A-097,Ground Vehicle,98.31,4.449,4176.3,40.6,350.1,18.2,42.86,26,2026-08-01,0
A-098,UAV,92.29,2.188,1262.3,21.5,95.3,16.6,20.01,3,2026-08-15,0
A-099,UAV,84.04,1.014,793.6,14.6,97.2,1.7,9.36,7,2026-08-15,0
A-100,Rotary Wing,103.48,3.888,897.4,16.9,64.1,2.3,58.72,7,2026-08-23,0
